IP:PORT, LOSS, DELAY
162.159.192.11:934,0.00%,164 ms
162.159.195.52:7281,0.00%,164 ms
162.159.192.11:5279,0.00%,164 ms
162.159.192.86:934,0.00%,165 ms
162.159.192.164:5279,0.00%,165 ms
162.159.195.216:908,0.00%,167 ms
162.159.195.216:7281,0.00%,167 ms
162.159.195.91:7281,0.00%,167 ms
162.159.195.96:908,0.00%,167 ms
162.159.192.86:5279,0.00%,167 ms
162.159.192.45:934,0.00%,167 ms
162.159.192.45:5279,0.00%,168 ms
162.159.192.249:934,0.00%,168 ms
162.159.192.238:5279,0.00%,170 ms
162.159.192.117:934,0.00%,171 ms
162.159.192.85:934,0.00%,171 ms
162.159.195.5:908,0.00%,172 ms
162.159.195.83:7281,0.00%,172 ms
162.159.195.71:7281,0.00%,172 ms
162.159.195.96:7281,0.00%,172 ms
162.159.195.5:7281,0.00%,172 ms
162.159.195.124:908,0.00%,174 ms
162.159.192.85:5279,0.00%,174 ms
162.159.195.124:7281,0.00%,175 ms
162.159.195.71:908,0.00%,176 ms
162.159.192.59:934,0.00%,177 ms
162.159.195.9:908,0.00%,189 ms
162.159.195.52:908,0.00%,189 ms
162.159.192.249:5279,0.00%,191 ms
188.114.96.242:7281,0.00%,202 ms
188.114.96.73:908,0.00%,202 ms
188.114.97.254:908,0.00%,203 ms
188.114.96.153:908,0.00%,204 ms
188.114.96.200:908,0.00%,204 ms
188.114.98.94:908,0.00%,205 ms
188.114.97.255:7281,0.00%,205 ms
188.114.97.188:908,0.00%,207 ms
188.114.96.73:7281,0.00%,209 ms
188.114.97.254:7281,0.00%,209 ms
188.114.98.242:908,0.00%,209 ms
188.114.96.159:7281,0.00%,209 ms
188.114.98.139:7281,0.00%,211 ms
188.114.99.212:908,0.00%,211 ms
188.114.96.178:7281,0.00%,212 ms
188.114.96.69:7281,0.00%,212 ms
188.114.97.255:908,0.00%,212 ms
188.114.99.212:7281,0.00%,212 ms
188.114.97.149:7281,0.00%,212 ms
188.114.96.69:908,0.00%,212 ms
188.114.96.130:7281,0.00%,213 ms
188.114.97.142:7281,0.00%,213 ms
188.114.96.75:908,0.00%,213 ms
188.114.98.136:908,0.00%,213 ms
188.114.96.178:908,0.00%,213 ms
188.114.98.136:7281,0.00%,213 ms
188.114.98.139:908,0.00%,214 ms
188.114.97.108:908,0.00%,214 ms
188.114.97.67:7281,0.00%,214 ms
188.114.97.46:908,0.00%,214 ms
188.114.97.235:908,0.00%,214 ms
188.114.99.181:7281,0.00%,214 ms
188.114.96.153:7281,0.00%,215 ms
188.114.99.137:7281,0.00%,215 ms
188.114.96.50:908,0.00%,215 ms
188.114.97.235:7281,0.00%,216 ms
188.114.99.66:7281,0.00%,216 ms
188.114.98.185:7281,0.00%,216 ms
188.114.99.211:7281,0.00%,216 ms
188.114.99.72:908,0.00%,217 ms
188.114.99.66:908,0.00%,217 ms
188.114.98.37:908,0.00%,217 ms
188.114.97.61:908,0.00%,217 ms
188.114.98.242:7281,0.00%,219 ms
188.114.98.167:7281,0.00%,219 ms
188.114.99.191:7281,0.00%,219 ms
188.114.98.167:908,0.00%,220 ms
188.114.99.181:908,0.00%,221 ms
188.114.97.211:908,0.00%,221 ms
188.114.96.225:908,0.00%,221 ms
188.114.97.211:7281,0.00%,221 ms
188.114.98.150:908,0.00%,221 ms
188.114.97.35:7281,0.00%,222 ms
188.114.99.113:7281,0.00%,223 ms
188.114.99.191:908,0.00%,224 ms
188.114.97.108:7281,0.00%,224 ms
188.114.96.230:7281,0.00%,224 ms
188.114.99.98:7281,0.00%,225 ms
188.114.98.150:7281,0.00%,225 ms
188.114.98.189:908,0.00%,225 ms
188.114.98.94:7281,0.00%,226 ms
188.114.99.122:908,0.00%,226 ms
188.114.99.137:908,0.00%,227 ms
188.114.99.25:7281,0.00%,227 ms
188.114.99.125:7281,0.00%,228 ms
188.114.99.122:7281,0.00%,228 ms
188.114.98.144:908,0.00%,229 ms
188.114.98.223:7281,0.00%,231 ms
188.114.99.98:908,0.00%,232 ms
162.159.192.238:934,10.00%,249 ms
162.159.192.117:5279,10.00%,249 ms
162.159.192.164:934,10.00%,249 ms
